Airport code,,District,Country
SXW,Sauren,West New Britain,Papua New Guinea
SXX,Sao Felix Do Xingu,ParÃ¡,Brazil
SXY,Sidney,New York,United States
SXZ,Siirt,Siirt Province,Turkey
SYA,Shemya AFB,Alaska,United States
SYB,Seal Bay,Alaska,United States
SYC,Shiringayoc,Madre de Dios Region,PerÃº
SYD,Kingsford Smith,New South Wales,Australia
SYE,Sadah,Sa'dah Governorate,Yemen
SYF,Silva Bay,Kansas,United States
SYG,Spitsberg,Kuyavia-Pomerania,Poland
SYH,Syangboche,Sagarmatha,Nepal
SYI,Bomar Field,Tennessee,United States
SYJ,Sirjan,Kerman Province,Iran
SYK,Stykkisholmur,Western Region,Iceland
SYL,Roberts AAF,California,United States
SYM,Simao,Yunnan Province,China
SYN,Carleton,Minnesota,United States
SYO,Shonai,Yamagata Prefecture,Japan
SYP,Santiago,Veraguas Province,Panama
SYR,Syracuse Hancock International Airport,New York,United States
SYS,Yeosu,Sakha (Yakutia) Republic,Russia
SYT,Charolais Bourgogne S.,Burgundy,France
SYU,Warraber Island,Queensland,Australia
SYV,Sylvester,Georgia,United States
SYW,Sehwen Sharif,Sindh,Pakistan
SYX,Sanya,Hainan Province,China
SYY,Stornoway,Scotland,United Kingdom
SYZ,Shiraz,Fars Province,Iran
SZA,Soyo,Zaire Province,Angola
SZB,Sultan Abdul Aziz Shah,Selangor,Malaysia
SZC,Guanacaste,Not found,Not found
SZD,Sheffield City Airport,Not found,Not found
SZE,Semera Airport,Afar,Ethiopia
SZF,Carsamba,Samsun Province,Turkey
SZG,W.A. Mozart,Salzburg,Austria
SZH,Senipah,East Kalimantan,Indonesia
SZI,Zaisan,East Kazakhstan Region,Kazakhstan
SZJ,Siguanea,Isla de la Juventud,Cuba
SZK,Skukuza,Mpumalanga,South Africa
SZL,Whiteman AFB,Missouri,United States
SZM,Sesriem,Hardap Region,Namibia
SZN,Santa Cruz Island,California,United States
SZO,Shanzhou,Not found,Not found
SZP,Santa Paula,California,United States
SZQ,Saenz Pena,Chaco Province,Argentina
SZR,Stara Zagora,Stara Zagora Province,Bulgaria
SZS,Stewart Island,Southland Region,New Zealand
SZT,San Cristobal Airport,Chiapas,Mexico
SZU,Segou,Not found,Not found
SZV,Suzhou,Jiangsu Province,China
SZW,Parchim Airport,Mecklenburg-Vorpommern,Germany
SZX,Shenzhen,Guangdong Province,China
SZY,Mazury,Warmia-Masuria,Poland
SZZ,Goleniow,West Pomerania,Poland
TAA,Tarapaina,Malaita,Solomon Islands
TAB,Crown Point Airport,Western Tobago,Trinidad and Tobago
TAC,D.Z. Romualdez,Leyte Province,Philippines
TAD,Las Animas,Colorado,United States
TAE,Daegu,Daegu Gwang'yeogsi,South Korea
TAF,Tafaraoui,Oran Province,Algeria
TAG,Tagbilaran,Bohol Province,Philippines
TAH,Tanna,Tafea,Vanuatu
TAI,Al Janad,Ta'izz Governorate,Yemen
TAJ,Tadji,Sandaun (West Sepik),Papua New Guinea
TAK,Takamatsu,Kagawa Prefecture,Japan
TAL,Ralph Calhoun,Alaska,United States
TAM,Gen F Javier Mina,Tamaulipas,Mexico
TAN,Tangalooma,Massachusetts,United States
TAO,Qingdao,Shandong Province,China
TAP,Tapachula International,Chiapas,Mexico
TAQ,Tarcoola,South Australia,Australia
TAR,M. A. Grottag,Apulia,Italy
TAS,Vostochny,Toshkent,Uzbekistan
TAT,Poprad/Tatry,KoÅ¡ice,Slovakia
TAU,Tauramena,Casanare Department,Colombia
TAV,Tau,American Samoa,Not found
TAW,Tacuarembo,Tacuarembo Department,Uruguay
TAX,Taliabu,Maluku Utara,Indonesia
TAY,Tartu,Tartu County,Estonia
TAZ,Dashoguz,Illinois,United States
TBA,Tabibuga,Jiwaka,Papua New Guinea
TBB,Tuy Hoa,Vinh Long Province,Vietnam
TBC,Tuba City,Arizona,United States
TBD,Timbiqui,Cauca Department,Colombia
TBE,Timbunke,East Sepik,Papua New Guinea
TBF,Tabiteuea North,Gilbert Islands,Kiribati
TBG,Tabubil,Western (Fly River),Papua New Guinea
TBH,Tablas,Romblon Province,Philippines
TBI,New Bright,Meta Department,Colombia
TBJ,Tabarka,Jendouba Governorate,Tunisia
TBK,Timber Creek,Northern Territory,Australia
TBL,Tableland,Western Australia,Australia
TBM,Tumbang Samba,Central Kalimantan,Indonesia
TBN,Forney AAF,Missouri,United States
TBO,Tabora,Tabora Region,Tanzania
TBP,Tumbes,Tumbes Region,PerÃº
TBQ,Tarabo,Eastern Highlands,Papua New Guinea
TBR,Municipal,Georgia,United States
TBS,Novo Alexeyevka,Tbilisi,Georgia
TBT,Internacional,Amazonas,Brazil
TBV,Tabal,Aur,Marshall Islands
TBW,Tambov,Tambov Oblast,Russia
TBX,Taabo,Not found,Not found
TBY,Tsabong,Kgalagadi District,Botswana
TBZ,Tabriz,East Azarbaijan Province,Iran
TCA,Tennant Creek,Northern Territory,Australia
TCB,Treasure Cay,Marsh Harbour,Bahamas
TCC,Tucumcari,New Mexico,United States
TCD,Tarapaca,Amazonas Department,Colombia
TCE,Tulcea,Tulcea,Romania
TCF,Tocoa,Not found,Not found
TCG,Tacheng,Xinjiang Autonomous Region,China
TCH,Tchibanga,Nyanga Province,Gabon
TCJ,Torembi Airport,East Sepik,Papua New Guinea
TCK,Tinboli Airport,East Sepik,Papua New Guinea
TCL,Van De Graaf,Alabama,United States
TCM,Mc Chord AFB,Washington,United States
TCN,Tehuacan,Puebla,Mexico
TCO,La Florida,NariÃ±o Department,Colombia
TCP,Taba International,North Sinai Governorate,Egypt
TCQ,Tacna,Tacna Region,PerÃº
TCR,Tuticorin,Not found,Not found
TCS,Municipal,New Mexico,United States
TCT,Takotna,Alaska,United States
TCU,Thaba Nchu,Free State,South Africa
TCV,Tete,Not found,Not found
TCW,Tocumwal,New South Wales,Australia
TCX,Tabas,Yazd Province,Iran
TCY,Terrace Bay,California,United States
TDA,Trinidad,Casanare Department,Colombia
TDB,Tetabedi,Northern (Oro),Papua New Guinea
TDD,Trinidad,El Beni Department,Bolivia
TDG,Tandag,Surigao del Sur Province,Philippines
TDJ,Tadjoura,Tadjoura,Djibouti
TDK,Taldy-Kurgan,Almaty Region,Kazakhstan
TDL,Tandil,Buenos Aires Province,Argentina
TDN,Theda Station,Western Australia,Australia
TDO,Winlock,Washington,United States
TDR,Theodore,Queensland,Australia
TDS,Sasereme,Western (Fly River),Papua New Guinea
TDT,Tanda Tula,Limpopo,South Africa
TDV,Tanandava,Toliara,Madagascar
TDW,Tradewind,Texas,United States
TDX,Trat,Trat Province,Thailand
TDZ,Toledo,Ohio,United States
TEA,Tela,Atlantida,Honduras
TEB,Teterboro,New Jersey,United States
TEC,Telemaco Borba,ParanÃ¡,Brazil
TED,Thisted,North Jutland,Denmark
TEE,Tbessa,TÃ©bessa Province,Algeria
TEF,Telfer,Western Australia,Australia
TEG,Tenkodogo,Boulgou,Burkina Faso
TEH,Tetlin,Not found,Not found
TEI,Tezu,Arunachal Pradesh,India
TEK,Tatitlek,Alaska,United States
TEL,Telupid,Indiana,United States
TEM,Temora,New South Wales,Australia
TEN,Tongren,Guizhou Province,China
TEO,Terapo,Santa Fe Province,Argentina
TEP,Teptep,Madang,Papua New Guinea
TEQ,Corlu,TekirdaÄŸ Province,Turkey
TER,Lajes,Autonomous Region of Azores,Portugal
TES,Tessenei,Gash-Barka,Eritrea
TET,Matunda,Tete Province,Mozambique
TEU,Manapouri,Southland Region,New Zealand
TEW,Tohid,Michigan,United States
TEX,Telluride,Colorado,United States
TEY,Thingeyri,Westfjords,Iceland
TEZ,Salonibari,Assam,India
TFB,Tifalmin,Sandaun (West Sepik),Papua New Guinea
TFC,Taormina Harbour,Not found,Not found
TFF,Tefe,Amazonas,Brazil
TFI,Tufi,Northern (Oro),Papua New Guinea
TFL,Teofilo Otoni,Minas Gerais,Brazil
TFM,Telefomin,Western (Fly River),Papua New Guinea
TFN,Norte Los Rodeos,Canary Islands,Spain
TFR,Ramadan,Not found,Not found
TFS,Sur Reina Sofia,Canary Islands,Spain
TFT,Taftan,Balochistan,Pakistan
TFY,Tarfaya,LaÃ¢youne (EH) Province,Morocco
TGB,Tagbita,Not found,Not found
TGD,Golubovci,Podgorica Municipality,Montenegro
TGE,Sharpe Field,Alabama,United States
TGF,Tignes,Not found,Not found
TGG,Sultan Mahmood,Terengganu,Malaysia
TGH,Tongoa,Shefa,Vanuatu
TGI,Tingo Maria,Virginia,United States
TGJ,Tiga,New Caledonia,Not found
TGL,Tagula,Milne Bay,Papua New Guinea
TGM,Tirgu Mures,MureÅŸ,Romania
TGN,La Trobe Regional,Victoria,Australia
TGO,Tongliao,Inner Mongolia Autonomous Region,China
TGQ,Tangara da Serra,Mato Grosso,Brazil
TGR,Touggourt,Ouargla Province,Algeria
TGS,Chokwe,Gaza Province,Mozambique
TGT,Tanga,Tanga Region,Tanzania
TGU,Toncontin,Francisco Morazan,Honduras
TGV,Targovishte,Targovishte Province,Bulgaria
TGX,Tingrela,Not found,Not found
TGZ,Llano San Juan,Chiapas,Mexico
THA,Northern,Tennessee,United States
THB,Thaba-Tseka,Thaba-Tseka,Lesotho
THC,Tchien,Grand Gedeh County,Liberia
THE,Teresina,PiauÃ_,Brazil
THF,Tempelhof,Berlin,Germany
THG,Thangool,Queensland,Australia
THH,Taharoa,Waikato Region,New Zealand
THI,Tichitt,Tagant Region,Mauritania
THK,Thakhek,Khammouan Province,Laos
THL,Tachilek,Shan State,Burma
THM,Thompsonfield,Montana,United States
THN,Trollhattan,VÃ_stra GÃ¶talands lÃ_n,Sweden
THO,Thorshofn,Northeastern Region,Iceland
THP,Hot Springs,Wyoming,United States
THR,Mehrabad,Tehran Province,Iran
THS,Sukhothai,Sukhothai Province,Thailand
THT,Tamchakett,Hodh el Charbi Region,Mauritania
THU,Pituffik,Greenland,Not found
THV,York,Pennsylvania,United States
THY,Thohoyandou,Limpopo,South Africa
THZ,Tahoua,Tahoua Region,Niger
TIA,Rinas,Tirana County,Albania
TIB,Tibu,Norte de Santander Department,Colombia
TIC,Tinak Island,Arno,Marshall Islands
TID,Bouchekif,Tiaret Province,Algeria
TIE,Tippi,Gambela Peoples,Ethiopia
TIF,Taif,Makkah Region,Saudi Arabia
TIG,Tingwon,New Ireland,Papua New Guinea
TIH,Tikehau Atoll,French Polynesia,Not found
TII,Tirinkot,OrÅ«zgÄÅn Province,Afghanistan
TIJ,Rodriguez,Baja California,Mexico
TIK,Tinker AFB,Oklahoma,United States
TIL,Inverlake,Alberta,Canada
TIM,Timika,Papua,Indonesia
TIN,Tindouf,Tindouf Province,Algeria
TIO,Tilin,Magway Division,Burma
TIP,International,Tripoli District,Libya
TIQ,Tinian,Northern Mariana Islands,Not found
TIR,Tirupati,Andhra Pradesh,India
TIS,Thursday Island,Not found,Not found
TIU,Timaru,Canterbury Region,New Zealand
TIV,Tivat,Tivat Municipality,Montenegro
TIW,Industrial,Washington,United States
TIX,Space Center Exect.,Florida,United States
TIY,Tidjikja,Tagant Region,Mauritania
TIZ,Tari,Hidalgo,Mexico
TJA,Tarija,Tarija Department,Bolivia
TJB,Tanjung Balai,Riau,Indonesia
TJC,Ticantiki,Kuna Yala Indigenous Region,Panama
TJG,Tanjung Warukin,Kalimantan Selatan,Indonesia
TJH,Tajima,HyÅçgo Prefecture,Japan
TJI,Capiro,Colon,Honduras
TJK,Tokat,Tokat Province,Turkey
TJM,Tyumen,Tyumen Oblast,Russia
TJN,Takume,French Polynesia,Not found
TJQ,Bulutumbang,Bangka Belitung,Indonesia
TJS,Tanjung Selor,North Kalimantan,Indonesia
TJV,Thanjavur,Tamil Nadu,India
TKA,Talkeetna,Alaska,United States
TKB,Tekadu,Morobe,Papua New Guinea
TKC,Tiko,South-West Region,Cameroon
TKD,Takoradi,Western Region,Ghana
TKE,Tenakee SPB,Alaska,United States
TKF,Truckee,California,United States
TKG,Branti,Lampung,Indonesia
TKH,Takhli,Nakhon Sawan Province,Thailand
TKI,Tokeen,Alaska,United States
TKJ,Tok,Alaska,United States
TKK,Truk,Chuuk State,Micronesia
TKL,Taku SPB,Alaska,United States
TKM,El Peten,Peten,Guatemala
TKN,Tokunoshima,Kagoshima Prefecture,Japan
TKO,Tlokoeng,Kansas,United States
TKP,Takapoto,French Polynesia,Not found
TKQ,Kigoma,Xigoma Region,Tanzania
TKR,Thakurgaon,Rajshahi Division,Bangladesh
TKS,Tokushima,Tokushima Prefecture,Japan
TKT,Tak,Tak Province,Thailand
TKU,Turku,Western Finland,Finland
TKV,Tatakoto,Wisconsin,United States
TKW,Tekin,Sandaun (West Sepik),Papua New Guinea
TKX,Takaroa,French Polynesia,Not found
TKY,Turkey Creek,Western Australia,Australia
TKZ,Tokoroa,Waikato Region,New Zealand
TLA,Teller,Alaska,United States
TLB,Tarbela,North-West Frontier,Pakistan
TLC,Toluca,Mexico,Mexico
TLD,Limpopo Valley,Central District,Botswana
TLE,Tulear,Toliara,Madagascar
TLF,Telida,Alaska,United States
TLG,Tulagi Island,Central,Solomon Islands
TLH,Tallahassee Regional Airport,Florida,United States
TLI,Tolitoli,Sulawesi Tengah,Indonesia
TLJ,Tatalina AFS,Alaska,United States
TLK,Talknafjordur,Westfjords,Iceland
TLL,Ulemiste,Harju County,Estonia
TLM,Zenata,Tlemcen Province,Algeria
TLN,Hyeres,Provence-Alpes-CÃ´te-d'Azur,France
TLO,Tol,East New Britain,Papua New Guinea
TLP,Tumolbil,Sandaun (West Sepik),Papua New Guinea
TLR,Tulare,California,United States
TLS,Blagnac,Midi-PyrÃ©nÃ©es,France
TLT,Tuluksak,Alaska,United States
TLU,Tolu,Sucre Department,Colombia
TLV,Ben Gurion Intl,Central District,Israel
TLW,Talasea,West New Britain,Papua New Guinea
TLX,Talca,Maule Region,Chile
TLZ,Catalao,GoiÃ¡s,Brazil
TMA,Henry Tift Myers,Georgia,United States
TMB,Tamiami,Florida,United States
TMC,Tjilik Riwut,Nusa Tenggara Timur,Indonesia
TMD,Timbedra,Hodh ech Chargui Region,Mauritania
TME,Tame,Arauca Department,Colombia
TMG,Tomanggong,Sabah,Malaysia
TMH,Tanahmerah,Papua,Indonesia
TMI,Tumling Tar,Kosi,Nepal
TMJ,Termez,Surxondaryo,Uzbekistan
TMK,Tamky,Oregon,United States
TML,Tamale,Northern Region,Ghana
TMM,Tamatave,Toamasina,Madagascar
TMN,Tamana Island,Gilbert Islands,Kiribati
TMO,Tumeremo,BolÃ_var,Venezuela
TMP,Tampere-Pirkkala,Western Finland,Finland
TMQ,Tambao,Oudalan,Burkina Faso
TMR,Aguemar,Tamanghasset Province,Algeria
TMS,Sao Tome Is,SÃ£o TomÃ©,SÃ£o TomÃ© and Principe
TMT,Trombetas,ParÃ¡,Brazil
TMU,Tambor,Puntarenas,Costa Rica
TMW,Tamworth,New South Wales,Australia
TMX,Timimoun,Adrar Province,Algeria
TMY,Tiom,Papua,Indonesia
TMZ,Thames,Waikato Region,New Zealand
TNA,Jinan,Shandong Province,China
TNB,Tanah Grogot,East Kalimantan,Indonesia
TNC,Tin City AFS,Alaska,United States
TND,Trinidad,Sancti SpÃ_ritus,Cuba
TNE,Tanegashima,Kagoshima Prefecture,Japan
TNF,Toussus-le-noble,Ã_le-de-France,France
TNG,Boukhalef,Tanger Province,Morocco
TNH,Tonghua Liuhe,Jilin Province,China
TNI,Satna,Northern Mariana Islands,Not found
TNJ,Kidjang,Riau,Indonesia
TNK,Tununak,Alaska,United States
TNL,Ternopol,Not found,Not found
TNM,Teniente R. Marsh,Antarctica,Not found
TNN,Tainan,Tainan City,Taiwan
TNO,Tamarindo,Guanacaste,Costa Rica
TNP,Twentynine Palms,California,United States
TNQ,Teraina,Line Islands,Kiribati
TNR,Antananarivo,Antananarivo,Madagascar
TNS,Tungsten,Northwest Territories,Canada
TNT,Dade Collier,Florida,United States
TNU,Municipal,Iowa,United States
TNV,Tabuaeran,Line Islands,Kiribati
TNX,Stung Treng,Nevada,United States
TNZ,Tosontsengel,Dzavhan,Mongolia
TOA,Torrance,California,United States
TOB,Tobruk,Minnesota,United States
TOC,Toccoa,Georgia,United States
TOD,Tioman,Pahang,Malaysia
TOE,Tozeur,Tozeur Governorate,Tunisia
TOF,Tomsk,Tomsk Oblast,Russia
TOG,Togiak Village,Alaska,United States
TOH,Torres Airstrip,Torba,Vanuatu
TOI,Municipal,Alabama,United States
TOJ,Torrejon AFB,Madrid,Spain
TOK,Torokina,Bougainville (North Solomons),Papua New Guinea
TOL,Express,Ohio,United States
TOM,Tombouctou,Gao Region,Mali
TON,Tonu,Bougainville (North Solomons),Papua New Guinea
TOO,San Vito,Puntarenas,Costa Rica
TOP,Philip Billard,Kansas,United States
TOQ,Barriles,Antofagasta Region,Chile
TOR,Municipal,Wyoming,United States
TOS,Tromso/langnes,Troms,Norway
TOT,Coronie,Coronie,Suriname
TOU,Touho,New Caledonia,Not found
TOV,West End SPB,Not found,Not found
TOW,Toledo,ParanÃ¡,Brazil
TOX,Tobolsk,Tyumen Oblast,Russia
TOY,Toyama,Toyama Prefecture,Japan
TOZ,Touba,Bafing,CÃ´te d'Ivoire
TPA,Tampa International,Florida,United States
TPC,Tarapoa,Sucumbios Province,Ecuador
TPE,Chiang Kai Shek,Taoyuan County,Taiwan
TPG,Taiping,Perak,Malaysia
TPH,Tonopah Arpt,Nevada,United States
TPI,Tapini,Guaviare Department,Colombia
TPJ,Taplejung Suketar,Mechi,Nepal
TPK,Tapaktuan,Aceh,Indonesia
TPL,Draughon-Miller,Texas,United States
TPN,Tiputini,Orellana Province,Ecuador
TPO,Tanalian Point,Alaska,United States
TPP,Tarapoto,San MartÃ_n Region,PerÃº
TPQ,Tepic,Nayarit,Mexico
TPR,Tom Price,Western Australia,Australia
TPS,Birgi,Sicily,Italy
TPT,Tapeta,Nimba County,Liberia
TPU,Tikapur,Seti,Nepal
TPX,Tupai,French Polynesia,Not found
TQN,Taluqan,Takhar Province,Afghanistan
TQR,San Domino Island,Apulia,Italy
TQS,Tres Esquinas,CaquetÃ¡ Department,Colombia
TRA,Tarama,Okinawa Prefecture,Japan
TRB,Gonzalo,AntioquÃ_a Department,Colombia
TRC,Torreon,Coahuila,Mexico
TRD,Vaernes,Nord-TrÃ¸ndelag,Norway
TRE,Tiree,Scotland,United Kingdom
TRF,Sandefjord,Vestfold,Norway
TRG,Tauranga City,Bay of Plenty Region,New Zealand
TRH,Trona,California,United States
TRI,Tri-Cities Regional,Tennessee,United States
TRJ,Tarakbits,Jawa Timur,Indonesia
TRK,Tarakan,California,United States
TRL,Terrell Field,Texas,United States
TRM,Thermal,California,United States
TRN,Sandro Pertini (caselle),Piedmont,Italy
TRO,Taree,New South Wales,Australia
TRP,Coast Guard Heliport,Sinaloa,Mexico
TRQ,Tarauaca,Acre,Brazil
TRR,China Bay,Eastern Province,Sri Lanka
TRS,Ronchi Dei Legionari,Friuli-Venezia Giulia,Italy
TRT,Tremonton,Western (Fly River),Papua New Guinea
TRU,Trujillo,La Libertad Region,PerÃº
TRV,International,Kerala,India
TRW,Bonriki,Chubut Province,Argentina
TRX,Memorial,Missouri,United States
TRY,Tororo,Tororo District,Uganda
TRZ,Civil,Tamil Nadu,India
TSA,Sung Shan,Taipei (municipality),Taiwan
TSB,Tsumeb,Oshikoto Region,Namibia
TSC,Taisha,Morona-Santiago Province,Ecuador
TSD,Tshipise,Limpopo,South Africa
TSE,Astana,Akmola Region,Kazakhstan
TSF,Treviso,Veneto,Italy
TSG,Intermediate,Alaska,United States
TSH,Tshikapa,Kasai-Occidental Province,Congo (Kinshasa)
TSI,Tsili Tsili,Huila Department,Colombia
TSJ,Tsushima,Nagasaki Prefecture,Japan
TSK,Taskul,Sandaun (West Sepik),Papua New Guinea
TSL,Tamuin,San Luis Potosi,Mexico
TSM,Taos,New Mexico,United States
TSN,Tianjin,Tianjin Municipality,China
TSO,Tresco,Ohio,United States
TSP,Kern County,California,United States
TSQ,Torres,Rio Grande do Sul,Brazil
TSR,Timisoara (Traian Vuia) International,TimiÅŸ,Romania
TSS,East 34th St Heliport,New York,United States
TST,Trang,Trang Province,Thailand
TSU,Tabiteuea South,Gilbert Islands,Kiribati
TSV,Townsville International,Queensland,Australia
TSW,Tsewi,Morobe,Papua New Guinea
TSX,Tanjung Santan,East Kalimantan,Indonesia
TSY,Tasikmalaya,Jawa Barat,Indonesia
TSZ,Tsetserleg,Arhangay,Mongolia
TTA,Tan Tan,Tan-Tan Province,Morocco
TTB,Arbatax,Sardinia,Italy
TTC,Taltal,Antofagasta Region,Chile
TTD,Troutdale,Oregon,United States
TTE,Babullah,Maluku Utara,Indonesia
TTG,Tartagal,Salta Province,Argentina
TTH,Thumrait,Dhofar Governorate,Oman
TTI,Tetiaroa Is,French Polynesia,Not found
TTJ,Tottori,Tottori Prefecture,Japan
TTL,Turtle Island,Western,Fiji
TTM,Tablon De Tamara,Casanare Department,Colombia
TTN,Trenton-Mercer,New Jersey,United States
TTO,Municipal,South Dakota,United States
TTQ,Tortuquero,Limon,Costa Rica
TTR,Tana Toraja,Sulawesi Selatan,Indonesia
TTS,Tsaratanana,Florida,United States
TTT,Taitung,Taitung County,Taiwan
TTU,Sania Ramel,TÃ©touan Province,Morocco
TUA,Tulcan,Carchi Province,Ecuador
TUB,Tubuai,French Polynesia,Not found
TUC,Benj Matienzo,TucumÃ¡n Province,Argentina
TUD,Tambacounda,Tambacounda Region,Senegal
TUE,Tupile,Kuna Yala Indigenous Region,Panama
TUF,St Symphorien,Centre,France
TUG,Tuguegarao,Cagayan Province,Philippines
TUH,Arnold AFS,Tennessee,United States
TUI,Turaif,The Northern Border Region,Saudi Arabia
TUJ,Tum,"Southern Nations, Nationalities and Peoples",Ethiopia
TUK,Turbat,Balochistan,Pakistan
TUL,International,Oklahoma,United States
TUM,Tumut,New South Wales,Australia
TUN,Carthage,Tunis Governorate,Tunisia
TUO,Taupo,Waikato Region,New Zealand
TUP,Lemons Municipal,Mississippi,United States
TUQ,Tougan,Sourou,Burkina Faso
TUR,Tucurui,ParÃ¡,Brazil
TUS,International,Arizona,United States
TUT,Tauta,TucumÃ¡n Province,Argentina
TUU,Tabuk,Tabuk Region,Saudi Arabia
TUV,Tucupita,Delta Amacuro,Venezuela
TUW,Tubala,Not found,Not found
TUX,Tumbler Ridge,British Columbia,Canada
TUY,Tulum,Quintana Roo,Mexico
TUZ,Tucuma,Amazonas,Brazil
TVA,Morafenobe,Mahajanga,Madagascar
TVC,Traverse City,Michigan,United States
TVF,Regional,Minnesota,United States
TVI,Municipal,Georgia,United States
TVL,South Lake Tahoe,California,United States
TVU,Matei,Northern,Fiji
TVY,Dawe,Utah,United States
TWA,Twin Hills,Alaska,United States
TWB,Toowoomba,Queensland,Australia
TWD,Port Townsend,Washington,United States
TWE,Taylor,Alaska,United States
TWF,City County,Idaho,United States
TWH,Two Harbors,California,United States
TWN,Tewantin,Not found,Not found
TWP,Torwood,Queensland,Australia
TWT,Tawitawi,Kentucky,United States
TWU,Tawau,Sabah,Malaysia
TWY,Tawa,Morobe,Papua New Guinea
TWZ,Pukaki/Twizel,Canterbury Region,New Zealand
TXF,Teixeira de Freitas,Bahia,Brazil
TXG,Taichung,Taichung (city),Taiwan
TXK,Municipal,Arkansas,United States
TXL,Tegel,Berlin,Germany
TXM,Teminabuan,West Papua,Indonesia
TXN,Tunxi,Anhui Province,China
TXR,Tanbar,Queensland,Australia
TXU,Tabou,Bas-Sassandra,CÃ´te d'Ivoire
TYA,Tula,Tula Oblast,Russia
TYB,Tibooburra,New South Wales,Australia
TYD,Tynda,Amur Oblast,Russia
TYE,Tyonek,Alaska,United States
TYF,Torsby Airport,VÃ_rmlanda lÃ_n,Sweden
TYG,Thylungra,Queensland,Australia
TYL,Talara,Piura Region,PerÃº
TYM,Staniel Cay,Exuma,Bahamas
TYN,Taiyuan,Shanxi Province,China
TYP,Tobermorey,Northern Territory,Australia
TYR,Pounds Field,Texas,United States
TYS,Mc Ghee Tyson,Tennessee,United States
TYT,Treinta-y-Tres,Treinta y Tres Department,Uruguay
TYZ,Taylor,Arizona,United States
TZA,Municipal,Belize District,Belize
TZL,Tuzla International,Federacija Bosna i Hercegovina,Bosnia and Herzegovina
TZM,Tizimin,Yucatan,Mexico
TZN,South Andros,Not found,Not found
TZX,Trabzon,Trabzon Province,Turkey
UAB,Adana-Incirlik Airbase,Adana Province,Turkey
UAC,San Luis Rio Colorado,Sonora,Mexico
UAE,Mount Aue,Entre RÃ_os Province,Argentina
UAH,Ua Huka,French Polynesia,Not found
UAI,Suai,Cova Lima,Timor-Leste
UAK,Narsarsuaq,Greenland,Not found
UAL,Luau,Moxico Province,Angola
UAM,Anderson AFB,Guam,Not found
UAP,Ua Pou,French Polynesia,Not found
UAQ,San Juan,San Juan Province,Argentina
UAS,Samburu,Eastern Province,Kenya
UAX,Uaxactun,Peten,Guatemala
UBA,Uberaba,Minas Gerais,Brazil
UBB,Mabuiag Island,Queensland,Australia
UBI,Buin,Bougainville (North Solomons),Papua New Guinea
UBJ,Ube,Yamaguchi Prefecture,Japan
UBP,Muang Ubon,Ubon Ratchathani Province,Thailand
UBR,Ubrub,Papua,Indonesia
UBS,Lowndes County,Mississippi,United States
UBT,Ubatuba,SÃ£o Paulo,Brazil
UBU,Kalumburu,Western Australia,Australia
UCA,Oneida County,New York,United States
UCC,Yucca Flat,Nevada,United States
UCE,Eunice,Louisiana,United States
UCK,Lutsk,Not found,Not found
UCN,Buchanan,Sinoe County,Liberia
UCT,Ukhta,Komi Republic,Russia
UCY,Everett-Stewart,Tennessee,United States
UDA,Undarra,Queensland,Australia
UDD,Bermuda Dunes,California,United States
UDE,Volkel,Not found,Not found
UDI,Eduardo Gomes,Minas Gerais,Brazil
UDJ,Uzhgorod,Zakarpattia,Ukraine
UDN,Airfield,Friuli-Venezia Giulia,Italy
UDO,Udomxay,Not found,Not found
UDR,Dabok,Rajasthan,India
UEE,Queenstown,Tasmania,Australia
UEL,Quelimane,Zambezia Province,Mozambique
UEO,Kumejima,Okinawa Prefecture,Japan
UER,Puertollano,Not found,Not found
UES,Waukesha,Wisconsin,United States
UET,Quetta,Balochistan,Pakistan
UFA,Ufa,Republic of Bashkortostan,Russia
UGA,Bulgan,Bulgan,Mongolia
UGB,Ugashik Bay,Alaska,United States
UGC,Urgench,Xorazm,Uzbekistan
UGI,Uganik,Alaska,United States
UGN,Memorial,Illinois,United States
UGO,Uige,UÃ_ge Province,Angola
UGS,Ugashik,Alaska,United States
UGT,Umnugobitour,Ã–mnÃ¶govi,Mongolia
UGU,Zugapa,Papua,Indonesia
UHE,Kunovice,Zlin Region,Czechia
UHF,RAF Station,England,United Kingdom
UIB,Quibdo,ChocÃ_ Department,Colombia
UIH,Qui Nhon,Binh Dinh Province,Vietnam
UII,Utila,Islas de la Bahia,Honduras
UIK,Ust-Ilimsk,Irkutsk Oblast,Russia
UIL,Quillayute State,Washington,United States
UIN,Municipal,Illinois,United States
UIO,Mariscal Sucr,Pichincha Province,Ecuador
UIP,Pluguffan,Brittany,France
UIQ,Quine Hill,Shefa,Vanuatu
UIR,Quirindi,New South Wales,Australia
UIT,Jaluit Island,Jaluit,Marshall Islands
UIZ,Berz-Macomb,Michigan,United States
UJE,Ujae Island,Ujae,Marshall Islands
UKA,Ukunda,Coast Province,Kenya
UKB,Kobe,HyÅçgo Prefecture,Japan
UKI,Ukiah,California,United States
UKK,Ust-kamenogorsk,East Kazakhstan Region,Kazakhstan
UKN,Municipal,Iowa,United States
UKR,Mukeiras,Al Bayda' Governorate,Yemen
UKS,Belbek,Crimea,Ukraine
UKT,Upper Bucks,Pennsylvania,United States
UKU,Nuku,Sandaun (West Sepik),Papua New Guinea
UKX,Ust-Kut,Irkutsk Oblast,Russia
